Draw Date,Winning Numbers,,,,,Powerball,Power Play
04/26/2017,18,1,51,15,26,26,4
04/22/2017,39,21,48,41,63,6,3
04/19/2017,1,19,52,40,37,15,3
04/15/2017,61,26,45,5,22,13,3
04/12/2017,68,63,14,8,61,24,2
04/08/2017,51,53,36,23,60,15,2
04/05/2017,53,20,54,46,8,13,2
04/01/2017,65,9,44,36,32,1,3
03/29/2017,8,62,31,36,15,11,3
03/25/2017,32,18,31,48,45,16,4
03/22/2017,2,29,9,27,42,9,2
03/18/2017,25,67,54,44,13,5,3
03/15/2017,30,16,41,48,53,16,3
03/11/2017,57,41,50,26,1,11,2
03/08/2017,42,23,59,46,33,4,2
03/04/2017,2,22,63,19,18,19,3
03/01/2017,16,10,52,40,55,17,10
02/25/2017,6,62,32,47,65,19,2
02/22/2017,52,10,61,28,13,2,2
02/18/2017,9,3,33,7,31,20,3
02/15/2017,33,5,42,38,28,19,2
02/11/2017,37,64,17,9,5,2,2
02/08/2017,49,20,42,14,66,5,2
02/04/2017,52,17,16,13,6,25,3
02/01/2017,9,60,64,43,57,10,2
01/28/2017,39,12,49,69,20,17,2
01/25/2017,18,62,66,68,28,22,2
01/21/2017,45,25,23,67,52,2,2
01/18/2017,41,9,58,40,53,12,2
01/14/2017,55,69,23,64,59,13,5
01/11/2017,1,16,13,43,3,24,2
01/07/2017,37,63,12,24,3,10,2
01/04/2017,17,16,42,41,29,4,3
12/31/2016,1,28,3,67,57,9,2
12/28/2016,30,23,44,58,16,4,2
12/24/2016,38,52,42,51,28,21,2
12/21/2016,25,68,40,54,33,3,5
12/17/2016,16,40,8,48,1,10,2
12/14/2016,39,18,66,37,26,15,3
12/10/2016,32,21,12,44,66,15,2
12/07/2016,49,64,48,41,53,20,2
12/03/2016,27,26,33,8,10,22,2
11/30/2016,3,45,25,14,18,7,2
11/26/2016,21,17,37,44,19,16,2
11/23/2016,7,61,41,47,32,3,2
11/19/2016,24,61,43,16,28,21,2
11/16/2016,28,61,63,41,65,7,2
11/12/2016,20,8,27,52,17,24,2
11/09/2016,28,31,54,25,1,2,2
11/05/2016,31,50,69,21,51,8,3
11/02/2016,18,54,61,13,37,5,2
10/29/2016,42,48,20,21,19,23,3
10/26/2016,48,56,2,16,3,24,2
10/22/2016,1,55,33,28,56,22,2
10/19/2016,43,63,16,38,10,23,2
